"Country","Transactions","Revenue","RevenueShare"
"United Kingdom",16506,8169433.72,0.845801017556316
"Netherlands",80,273284.42,0.0282937898072925
"EIRE",266,269712.34,0.0279239638190608
"Germany",426,204098.56,0.0211308122014825
"France",366,182378.1,0.0188820410137298
"Australia",47,134466.05,0.0139215918526087
"Spain",86,55533.05,0.00574946952357498
"Switzerland",47,52609.3,0.00544676669130568
"Belgium",96,36831.94,0.00381329886480469
"Sweden",29,35196.33,0.00364396024847704
"Norway",31,32434.84,0.003358056582198
"Japan",15,28236.67,0.00292340999841075
"Portugal",49,26778.76,0.00277246908821195
"Channel Islands",23,19752.14,0.00204498630915079
"Denmark",18,18170.09,0.00188119288775989
"Finland",38,17603.28,0.00182250969242563
"Italy",32,15678.61,0.00162324400275184
"Cyprus",12,12642.46,0.00130890412957717
"Hong Kong",7,9556.99,0.000989458038809517
"Singapore",4,9120.39,0.000944255796289201
"Austria",17,8742.68,0.000905150576357115
"Israel",8,8125.26,0.000841227606643662
"Poland",17,6863.73,0.000710618387663694
"Unspecified",13,4697.48,0.000486341342634755
"Greece",5,4425.52,0.0004581846731986
"Iceland",7,4310,0.000446224611228956
"USA",5,3580.39,0.000370686342412538
"Canada",4,2581.2,0.00026723781125387
"Malta",4,2040.59,0.000211267164600393
"United Arab Emirates",2,1864.78,0.000193065134693163
"Lebanon",1,1693.88,0.000175371448832599
"Lithuania",2,1583.06,0.000163897989107218
"European Community",3,1159.25,0.000120019925885654
"Brazil",1,1143.6,0.000118399643944648
"RSA",1,1002.31,0.000103771552222945
"Czech Republic",2,786.74,8.14530743940298e-05
"Bahrain",2,548.4,5.67771639902458e-05
"Saudi Arabia",1,145.92,1.51074466984987e-05
