"Item","Baskets","Support"
"WHITE HANGING HEART T-LIGHT HOLDER",2246,0.122913588354403
"JUMBO BAG RED RETROSPOT",2073,0.113446067969135
"REGENCY CAKESTAND 3 TIER",1965,0.107535708422262
"PARTY BUNTING",1670,0.091391670771083
"LUNCH BAG RED RETROSPOT",1564,0.0855907623269304
"ASSORTED COLOUR BIRD ORNAMENT",1453,0.0795162261259782
"SET OF 3 CAKE TINS PANTRY DESIGN",1376,0.0753023586712636
"POPCORN HOLDER",1369,0.0749192798117441
"PACK OF 72 RETROSPOT CAKE CASES",1320,0.0722377277951075
"LUNCH BAG SUKI DESIGN",1283,0.0702128823947901
"LUNCH BAG  BLACK SKULL.",1271,0.069556175778471
"NATURAL SLATE HEART CHALKBOARD",1248,0.0682974880971926
"JUMBO BAG VINTAGE DOILY",1230,0.0673124281727138
"JUMBO BAG PINK POLKADOT",1216,0.0665462704536748
"HEART OF WICKER SMALL",1197,0.0655064849778361
"JUMBO STORAGE BAG SUKI",1184,0.0647950528101571
"JUMBO SHOPPER VINTAGE RED PAISLEY",1174,0.0642477972965578
"LUNCH BAG SPACEBOY DESIGN",1157,0.063317462923439
"PAPER CHAIN KIT 50'S CHRISTMAS",1153,0.0630985607179992
"JAM MAKING SET PRINTED",1152,0.0630438351666393
"LUNCH BAG CARS BLUE",1149,0.0628796585125595
"SPOTTY BUNTING",1142,0.06249657965304
"JAM MAKING SET WITH JARS",1130,0.0618398730367208
"RECIPE BOX PANTRY YELLOW DESIGN",1109,0.0606906364581623
"WOODEN PICTURE FRAME WHITE FINISH",1098,0.0600886553932031
"LUNCH BAG VINTAGE DOILY",1096,0.0599792042904832
"LUNCH BAG PINK POLKADOT",1089,0.0595961254309637
"SET OF 4 PANTRY JELLY MOULDS",1071,0.058611065506485
"ROSES REGENCY TEACUP AND SAUCER",1062,0.0581185355442456
"ALARM CLOCK BAKELIKE RED",1050,0.0574618289279265
"LUNCH BAG APPLE DESIGN",1035,0.0566409456575275
"RED RETROSPOT CHARLOTTE BAG",1032,0.0564767690034477
"VICTORIAN GLASS HANGING T-LIGHT",1028,0.056257866798008
"LUNCH BAG WOODLAND",1014,0.055491709078969
"GREEN REGENCY TEACUP AND SAUCER",1013,0.055436983527609
"SET/20 RED RETROSPOT PAPER NAPKINS",983,0.0537952169868111
"JUMBO BAG APPLES",976,0.0534121381272916
"ALARM CLOCK BAKELIKE GREEN",975,0.0533574125759317
"WOODEN FRAME ANTIQUE WHITE",969,0.0530290592677721
"RABBIT NIGHT LIGHT",962,0.0526459804082526
"RETROSPOT TEA SET CERAMIC 11 PC",960,0.0525365293055328
"6 RIBBONS RUSTIC CHARM",955,0.0522629015487331
"BAKING SET 9 PIECE RETROSPOT",930,0.0508947627647349
"JUMBO  BAG BAROQUE BLACK WHITE",927,0.0507305861106551
"VINTAGE SNAP CARDS",924,0.0505664094565753
"HEART OF WICKER LARGE",923,0.0505116839052153
"GARDENERS KNEELING PAD KEEP CALM",912,0.0499097028402561
"JUMBO BAG ALPHABET",904,0.0494718984293767
"SPACEBOY LUNCH BOX",900,0.049252996223937
"ANTIQUE SILVER T-LIGHT GLASS",899,0.049198270672577
