"Item","Revenue","Units"
"REGENCY CAKESTAND 3 TIER",165394.06,13048
"WHITE HANGING HEART T-LIGHT HOLDER",98952.18,35046
"PARTY BUNTING",93733.91,16919
"JUMBO BAG RED RETROSPOT",89893.98,46014
"PAPER CHAIN KIT 50'S CHRISTMAS",63561.04,18840
"ASSORTED COLOUR BIRD ORNAMENT",58447.19,36055
"RABBIT NIGHT LIGHT",51397.11,22624
"CHILLI LIGHTS",43806.08,8084
"SPOTTY BUNTING",42017.98,8206
"JUMBO BAG PINK POLKADOT",41578.93,20997
"JUMBO BAG VINTAGE DOILY",41428.08,20153
"POPCORN HOLDER",39495.11,40512
"SET OF 3 CAKE TINS PANTRY DESIGN",37545.49,7359
"JAM MAKING SET WITH JARS",37001.38,8676
"BLACK RECORD COVER FRAME",36074.94,10311
"WOOD BLACK BOARD ANT WHITE FINISH",35919.22,6006
"LUNCH BAG RED RETROSPOT",35773.18,19382
"DOORMAT KEEP CALM AND COME IN",32777.44,4731
"JUMBO BAG STRAWBERRY",32704.25,17271
"PAPER CHAIN KIT VINTAGE CHRISTMAS",32526.46,10484
"HEART OF WICKER SMALL",31677.57,17688
"VICTORIAN GLASS HANGING T-LIGHT",31362.35,22718
"HOT WATER BOTTLE TEA AND SYMPATHY",31315.34,5398
"CHOCOLATE HOT WATER BOTTLE",31221.97,5688
"JUMBO STORAGE BAG SUKI",30681.36,13612
"ALARM CLOCK BAKELIKE RED",30524.87,7768
"JUMBO BAG APPLES",30024.14,14678
"HEART OF WICKER LARGE",29938.81,9833
"CHARLOTTE BAG SUKI DESIGN",29144.01,17996
"SET OF 3 REGENCY CAKE TINS",28486.45,5715
"JUMBO SHOPPER VINTAGE RED PAISLEY",28421.36,12532
"ROSES REGENCY TEACUP AND SAUCER",28376.32,9604
"DOORMAT RED RETROSPOT",27965.54,4076
"NATURAL SLATE HEART CHALKBOARD",27935.56,9100
"JUMBO BAG ALPHABET",27583.69,13223
"JUMBO  BAG BAROQUE BLACK WHITE",27108.72,13365
"GIN + TONIC DIET METAL SIGN",26933.07,12169
"HOT WATER BOTTLE KEEP CALM",26735.05,5352
"RECIPE BOX PANTRY YELLOW DESIGN",26040,8208
"ALARM CLOCK BAKELIKE GREEN",26014.32,6117
"SPACEBOY LUNCH BOX",25681.97,14230
"ROTATING SILVER ANGELS T-LIGHT HLDR",25197.98,8789
"ANTIQUE SILVER T-LIGHT GLASS",25157.89,18584
"RED  HARMONICA IN BOX",25069.38,20753
"JAM MAKING SET PRINTED",25020.03,15917
"REGENCY TEAPOT ROSES",24609.68,2735
"ROUND SNACK BOXES SET OF4 WOODLAND",24358.97,8533
"PLEASE ONE PERSON METAL SIGN",24344.97,11802
"SCOTTIE DOG HOT WATER BOTTLE",24089.28,4591
"DOORMAT NEW ENGLAND",24084.54,3804
