"Itemset","Size","Support","Count"
"{WHITE HANGING HEART T-LIGHT HOLDER}",1,0.12291,2246
"{JUMBO BAG RED RETROSPOT}",1,0.11345,2073
"{REGENCY CAKESTAND 3 TIER}",1,0.10754,1965
"{PARTY BUNTING}",1,0.09139,1670
"{LUNCH BAG RED RETROSPOT}",1,0.08559,1564
"{ASSORTED COLOUR BIRD ORNAMENT}",1,0.07952,1453
"{SET OF 3 CAKE TINS PANTRY DESIGN}",1,0.0753,1376
"{POPCORN HOLDER}",1,0.07492,1369
"{PACK OF 72 RETROSPOT CAKE CASES}",1,0.07224,1320
"{LUNCH BAG SUKI DESIGN}",1,0.07021,1283
"{LUNCH BAG  BLACK SKULL.}",1,0.06956,1271
"{NATURAL SLATE HEART CHALKBOARD}",1,0.0683,1248
"{JUMBO BAG VINTAGE DOILY}",1,0.06731,1230
"{JUMBO BAG PINK POLKADOT}",1,0.06655,1216
"{HEART OF WICKER SMALL}",1,0.06551,1197
"{JUMBO STORAGE BAG SUKI}",1,0.0648,1184
"{JUMBO SHOPPER VINTAGE RED PAISLEY}",1,0.06425,1174
"{LUNCH BAG SPACEBOY DESIGN}",1,0.06332,1157
"{PAPER CHAIN KIT 50'S CHRISTMAS}",1,0.0631,1153
"{JAM MAKING SET PRINTED}",1,0.06304,1152
"{LUNCH BAG CARS BLUE}",1,0.06288,1149
"{SPOTTY BUNTING}",1,0.0625,1142
"{JAM MAKING SET WITH JARS}",1,0.06184,1130
"{RECIPE BOX PANTRY YELLOW DESIGN}",1,0.06069,1109
"{WOODEN PICTURE FRAME WHITE FINISH}",1,0.06009,1098
"{LUNCH BAG VINTAGE DOILY}",1,0.05998,1096
"{LUNCH BAG PINK POLKADOT}",1,0.0596,1089
"{SET OF 4 PANTRY JELLY MOULDS}",1,0.05861,1071
"{ROSES REGENCY TEACUP AND SAUCER}",1,0.05812,1062
"{ALARM CLOCK BAKELIKE RED}",1,0.05746,1050
