"Itemset","Size","Support","Count"
"{JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT}",2,0.04515,825
"{GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER}",2,0.04197,767
"{JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI}",2,0.03962,724
"{JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY}",2,0.03721,680
"{LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN}",2,0.03585,655
"{LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT}",2,0.03508,641
"{ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED}",2,0.03502,640
"{GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER}",2,0.03459,632
"{LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT}",2,0.03316,606
"{PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER}",2,0.03273,598
"{JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT}",2,0.03201,585
"{LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN}",2,0.03196,584
"{JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT}",2,0.03169,579
"{JUMBO BAG RED RETROSPOT,JUMBO BAG VINTAGE DOILY}",2,0.03158,577
"{LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN}",2,0.03065,560
"{LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT}",2,0.03037,555
"{PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS}",2,0.03021,552
"{GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM}",2,0.02988,546
"{JUMBO BAG APPLES,JUMBO BAG RED RETROSPOT}",2,0.02988,546
"{LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT}",2,0.02977,544
