"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count","fishersPValue","pAdjusted"
"HERB MARKER CHIVES + HERB MARKER THYME","HERB MARKER PARSLEY",0.01001,0.96825,0.01034,74.33994,183,0,0
"HERB MARKER CHIVES + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01001,0.96825,0.01034,74.33994,183,0,0
"HERB MARKER BASIL + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01018,0.96373,0.01056,73.37604,186,0,0
"HERB MARKER CHIVES + HERB MARKER MINT","HERB MARKER PARSLEY",0.01001,0.96316,0.0104,73.94867,183,0,0
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01018,0.95876,0.01062,72.99781,186,0,0
"HERB MARKER BASIL + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01018,0.95876,0.01062,74.23506,186,0,0
"HERB MARKER MINT + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01078,0.95631,0.01127,72.8111,197,0,0
"HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01111,0.95305,0.01166,72.56297,203,0,0
"HERB MARKER BASIL + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01095,0.95238,0.01149,72.5119,200,0,0
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01018,0.94898,0.01073,73.47756,186,0,0
"HERB MARKER CHIVES + HERB MARKER PARSLEY","HERB MARKER MINT",0.01001,0.94819,0.01056,72.19255,183,0,0
"HERB MARKER CHIVES + HERB MARKER PARSLEY","HERB MARKER THYME",0.01001,0.94819,0.01056,73.41615,183,0,0
"HERB MARKER CHIVES + HERB MARKER PARSLEY","HERB MARKER ROSEMARY",0.01001,0.94819,0.01056,72.19255,183,0,0
"REGENCY TEA PLATE PINK + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN",0.01396,0.94796,0.01472,45.58418,255,0,0
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01111,0.94419,0.01177,73.10641,203,0,0
"HERB MARKER MINT + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER PARSLEY",0.01018,0.94416,0.01078,72.49025,186,0,0
"HERB MARKER MINT + HERB MARKER THYME","HERB MARKER PARSLEY",0.01062,0.94175,0.01127,72.30485,194,0,0
"HERB MARKER THYME","HERB MARKER ROSEMARY",0.01209,0.93644,0.01292,71.29825,221,0,0
"HERB MARKER BASIL + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01095,0.93458,0.01171,72.36259,200,0,0
"HERB MARKER BASIL + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER PARSLEY",0.01018,0.93,0.01095,71.4029,186,0,0
