"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count","fishersPValue","pAdjusted"
"JUMBO BAG PINK POLKADOT","JUMBO BAG RED RETROSPOT",0.04515,0.67845,0.06655,5.98041,825,0,0
"JUMBO BAG RED RETROSPOT","JUMBO BAG PINK POLKADOT",0.04515,0.39797,0.11345,5.98041,825,0,0
"ROSES REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER",0.04197,0.72222,0.05812,13.02781,767,0,0
"GREEN REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER",0.04197,0.75716,0.05544,13.02781,767,0,0
"JUMBO STORAGE BAG SUKI","JUMBO BAG RED RETROSPOT",0.03962,0.61149,0.0648,5.39011,724,0,0
"JUMBO BAG RED RETROSPOT","JUMBO STORAGE BAG SUKI",0.03962,0.34925,0.11345,5.39011,724,0,0
"JUMBO SHOPPER VINTAGE RED PAISLEY","JUMBO BAG RED RETROSPOT",0.03721,0.57922,0.06425,5.10565,680,0,0
"JUMBO BAG RED RETROSPOT","JUMBO SHOPPER VINTAGE RED PAISLEY",0.03721,0.32803,0.11345,5.10565,680,0,0
"LUNCH BAG SUKI DESIGN","LUNCH BAG RED RETROSPOT",0.03585,0.51052,0.07021,5.96469,655,0,0
"LUNCH BAG RED RETROSPOT","LUNCH BAG SUKI DESIGN",0.03585,0.4188,0.08559,5.96469,655,0,0
"LUNCH BAG  BLACK SKULL.","LUNCH BAG RED RETROSPOT",0.03508,0.50433,0.06956,5.89231,641,0,0
"LUNCH BAG RED RETROSPOT","LUNCH BAG  BLACK SKULL.",0.03508,0.40985,0.08559,5.89231,641,0,0
"ALARM CLOCK BAKELIKE RED","ALARM CLOCK BAKELIKE GREEN",0.03502,0.60952,0.05746,11.42341,640,0,0
"ALARM CLOCK BAKELIKE GREEN","ALARM CLOCK BAKELIKE RED",0.03502,0.65641,0.05336,11.42341,640,0,0
"PINK REGENCY TEACUP AND SAUCER","GREEN REGENCY TEACUP AND SAUCER",0.03459,0.83158,0.04159,15.00044,632,0,0
"GREEN REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER",0.03459,0.62389,0.05544,15.00044,632,0,0
"LUNCH BAG PINK POLKADOT","LUNCH BAG RED RETROSPOT",0.03316,0.55647,0.0596,6.50156,606,0,0
"LUNCH BAG RED RETROSPOT","LUNCH BAG PINK POLKADOT",0.03316,0.38747,0.08559,6.50156,606,0,0
"PINK REGENCY TEACUP AND SAUCER","ROSES REGENCY TEACUP AND SAUCER",0.03273,0.78684,0.04159,13.53857,598,0,0
"ROSES REGENCY TEACUP AND SAUCER","PINK REGENCY TEACUP AND SAUCER",0.03273,0.56309,0.05812,13.53857,598,0,0
