"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count"
"CANDLEHOLDER PINK HANGING HEART + RED HANGING HEART T-LIGHT HOLDER","WHITE HANGING HEART T-LIGHT HOLDER",0.00946752038526788,0.827751196172249,0.0114376402342254,6.73441567571483,173
"CANDLEHOLDER PINK HANGING HEART + HEART OF WICKER SMALL","WHITE HANGING HEART T-LIGHT HOLDER",0.00514420182783342,0.796610169491525,0.00645761506047173,6.48105860512851,94
"HEART OF WICKER LARGE + RED HANGING HEART T-LIGHT HOLDER","WHITE HANGING HEART T-LIGHT HOLDER",0.00673124281727138,0.736526946107784,0.0091391670771083,5.99223369823132,123
"NATURAL SLATE HEART CHALKBOARD + RED HANGING HEART T-LIGHT HOLDER","WHITE HANGING HEART T-LIGHT HOLDER",0.00530837848191321,0.729323308270677,0.00727849833087068,5.93362636332595,97
"CANDLEHOLDER PINK HANGING HEART","WHITE HANGING HEART T-LIGHT HOLDER",0.0185519619110163,0.716701902748414,0.0258851857932469,5.83094117049055,339
"HEART OF WICKER SMALL + RED HANGING HEART T-LIGHT HOLDER","WHITE HANGING HEART T-LIGHT HOLDER",0.00651234061183166,0.712574850299401,0.0091391670771083,5.79736430967095,119
"NATURAL SLATE HEART CHALKBOARD + SKULL SHOULDER BAG","WHITE HANGING HEART T-LIGHT HOLDER",0.00503475072511356,0.696969696969697,0.00722377277951075,5.67040395045738,92
"CHARLIE+LOLA PINK HOT WATER BOTTLE + RECIPE BOX PANTRY YELLOW DESIGN","WHITE HANGING HEART T-LIGHT HOLDER",0.00508947627647349,0.694029850746269,0.00733322388223061,5.6464859584535,93
"BATHROOM METAL SIGN + JAM MAKING SET WITH JARS","WHITE HANGING HEART T-LIGHT HOLDER",0.00536310403327314,0.690140845070423,0.00777102829311005,5.61484579785033,98
"CHARLIE+LOLA PINK HOT WATER BOTTLE + RECYCLING BAG RETROSPOT","WHITE HANGING HEART T-LIGHT HOLDER",0.00503475072511356,0.676470588235294,0.00744267498495047,5.50362736367922,92
"RED HANGING HEART T-LIGHT HOLDER","WHITE HANGING HEART T-LIGHT HOLDER",0.0271985990258852,0.673441734417344,0.0403874569036283,5.47898522395732,497
"CHARLIE+LOLA PINK HOT WATER BOTTLE + NATURAL SLATE HEART CHALKBOARD","WHITE HANGING HEART T-LIGHT HOLDER",0.00508947627647349,0.659574468085106,0.00771630274175012,5.36616396051609,93
"CHARLIE+LOLA PINK HOT WATER BOTTLE + SKULL SHOULDER BAG","WHITE HANGING HEART T-LIGHT HOLDER",0.00508947627647349,0.654929577464789,0.00777102829311005,5.32837407347021,93
"BATHROOM METAL SIGN + RED TOADSTOOL LED NIGHT LIGHT","WHITE HANGING HEART T-LIGHT HOLDER",0.00503475072511356,0.652482269503546,0.00771630274175012,5.30846327276861,92
"6 RIBBONS RUSTIC CHARM + RECYCLING BAG RETROSPOT","WHITE HANGING HEART T-LIGHT HOLDER",0.00519892737919335,0.650684931506849,0.00798993049854977,5.29384049573671,95
