"Rule","Consequent","Support","Confidence","Lift","MissedBaskets","AvgPrice","AvgQty","ExpectedUplift","PotentialRevenue"
"{ROSES REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.02873,0.494,4.6,537,13.9797251908397,6.64020356234097,265,24625.28
"{JUMBO BAG RED RETROSPOT} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.04515,0.398,5.98,1248,2.60603618421053,17.2672697368421,497,22351.25
"{LUNCH BAG RED RETROSPOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.03169,0.37,3.26,985,2.49391702846117,22.1968162083936,364,20174.87
"{SPOTTY BUNTING} => {PARTY BUNTING}","PARTY BUNTING",0.02643,0.423,4.63,659,5.80916167664671,10.1311377245509,279,16405.8
"{JUMBO BAG RED RETROSPOT} => {JUMBO STORAGE BAG SUKI}","JUMBO STORAGE BAG SUKI",0.03962,0.349,5.39,1349,2.7507347972973,11.4966216216216,471,14888.68
"{NATURAL SLATE HEART CHALKBOARD} => {WHITE HANGING HEART T-LIGHT HOLDER}","WHITE HANGING HEART T-LIGHT HOLDER",0.02282,0.334,2.72,831,3.2313000890472,15.6037399821906,278,13994.37
"{JUMBO BAG RED RETROSPOT} => {JUMBO SHOPPER VINTAGE RED PAISLEY}","JUMBO SHOPPER VINTAGE RED PAISLEY",0.03721,0.328,5.11,1393,2.68828790459966,10.6746166950596,457,13111.52
"{PAPER CHAIN KIT 50'S CHRISTMAS} => {PAPER CHAIN KIT VINTAGE CHRISTMAS}","PAPER CHAIN KIT VINTAGE CHRISTMAS",0.03021,0.479,10.72,601,3.36859068627451,12.8480392156863,288,12459.34
"{JAM MAKING SET PRINTED} => {JAM MAKING SET WITH JARS}","JAM MAKING SET WITH JARS",0.02583,0.41,6.63,680,5.07986725663717,7.67787610619469,279,10873.92
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG APPLES}","JUMBO BAG APPLES",0.02337,0.347,6.5,803,2.57344262295082,15.0389344262295,279,10783.92
"{JUMBO BAG PINK POLKADOT} => {JUMBO  BAG BAROQUE BLACK WHITE}","JUMBO  BAG BAROQUE BLACK WHITE",0.02266,0.34,6.71,802,2.61653721682848,14.4174757281553,273,10286.54
"{HEART OF WICKER SMALL} => {HEART OF WICKER LARGE}","HEART OF WICKER LARGE",0.02698,0.412,8.15,704,3.2897616468039,10.6533044420368,290,10165.26
"{LUNCH BAG VINTAGE DOILY} => {JUMBO BAG VINTAGE DOILY}","JUMBO BAG VINTAGE DOILY",0.02758,0.46,6.83,592,2.2780162601626,16.3845528455285,272,10164.15
"{PAPER CHAIN KIT VINTAGE CHRISTMAS} => {PAPER CHAIN KIT 50'S CHRISTMAS}","PAPER CHAIN KIT 50'S CHRISTMAS",0.03021,0.676,10.72,264,3.37515177797051,16.3399826539462,178,9842.28
"{JUMBO BAG PINK VINTAGE PAISLEY} => {JUMBO BAG STRAWBERRY}","JUMBO BAG STRAWBERRY",0.01576,0.333,7.4,577,2.41671532846715,21.0109489051095,192,9756.44
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG SCANDINAVIAN BLUE PAISLEY}","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",0.022,0.342,7.77,772,2.70037267080745,12.9826086956522,264,9256.12
"{JUMBO STORAGE BAG SUKI} => {JUMBO BAG WOODLAND ANIMALS}","JUMBO BAG WOODLAND ANIMALS",0.02457,0.379,8.04,735,2.93349187935035,11.3120649651972,279,9243.86
"{JUMBO SHOPPER VINTAGE RED PAISLEY} => {JUMBO BAG PINK VINTAGE PAISLEY}","JUMBO BAG PINK VINTAGE PAISLEY",0.02282,0.355,7.5,757,2.67275144508671,12.7028901734104,269,9124
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG ALPHABET}","JUMBO BAG ALPHABET",0.02025,0.301,6.08,860,2.39287610619469,14.6272123893805,259,9060.39
"{JUMBO BAG WOODLAND ANIMALS} => {JUMBO BAG OWLS}","JUMBO BAG OWLS",0.01543,0.327,9.2,580,2.79323076923077,16.5184615384615,190,8750.89
"{CHOCOLATE HOT WATER BOTTLE} => {HOT WATER BOTTLE TEA AND SYMPATHY}","HOT WATER BOTTLE TEA AND SYMPATHY",0.01828,0.392,11.18,518,5.03184087363495,8.42121684867395,203,8604.34
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG VINTAGE LEAF}","JUMBO BAG VINTAGE LEAF",0.02824,0.42,8.72,714,2.29795221843003,12.4334470989761,300,8568.01
"{LUNCH BAG SUKI DESIGN} => {LUNCH BAG RED RETROSPOT}","LUNCH BAG RED RETROSPOT",0.03585,0.511,5.96,628,2.13269181585678,12.3925831202046,321,8481.46
"{ALARM CLOCK BAKELIKE RED} => {ALARM CLOCK BAKELIKE PINK}","ALARM CLOCK BAKELIKE PINK",0.02572,0.448,10.45,580,4.58228607918263,6.81353767560664,260,8112.62
"{REGENCY TEA PLATE ROSES} => {REGENCY TEAPOT ROSES}","REGENCY TEAPOT ROSES",0.01089,0.448,19.73,245,11.1413253012048,6.59036144578313,110,8059.17
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG SUKI DESIGN}","LUNCH BAG SUKI DESIGN",0.03585,0.419,5.96,909,2.16708495713172,9.69134840218238,381,7999.04
"{PLEASE ONE PERSON METAL SIGN} => {GIN + TONIC DIET METAL SIGN}","GIN + TONIC DIET METAL SIGN",0.01625,0.356,8.04,538,2.7705198019802,15.0606435643564,192,7991.66
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG APPLE DESIGN}","LUNCH BAG APPLE DESIGN",0.02665,0.311,5.5,1077,2.04046376811594,11.6772946859903,335,7980.81
"{RECIPE BOX PANTRY YELLOW DESIGN} => {SET OF 3 CAKE TINS PANTRY DESIGN}","SET OF 3 CAKE TINS PANTRY DESIGN",0.02156,0.355,4.72,715,5.84500726744186,5.34811046511628,254,7934.5
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG  BLACK SKULL.}","LUNCH BAG  BLACK SKULL.",0.03508,0.41,5.89,923,2.10808025177026,9.51376868607396,378,7589.71
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG CARS BLUE}","LUNCH BAG CARS BLUE",0.03037,0.355,5.64,1009,2.06529155787641,10.2254134029591,358,7564.53
"{SCOTTIE DOG HOT WATER BOTTLE} => {CHOCOLATE HOT WATER BOTTLE}","CHOCOLATE HOT WATER BOTTLE",0.01702,0.404,8.66,459,6.02895539906103,6.67605633802817,185,7463.73
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG WOODLAND}","LUNCH BAG WOODLAND",0.02879,0.336,6.06,1038,2.18364891518738,9.68145956607495,349,7373.27
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG PEARS}","JUMBO BAG PEARS",0.02025,0.301,9.25,860,2.43333333333333,11.5488215488215,259,7274.52
"{JAM MAKING SET WITH JARS} => {JAM MAKING SET PRINTED}","JAM MAKING SET PRINTED",0.02583,0.418,6.63,658,1.90982638888889,13.8168402777778,275,7257.8
"{ROSES REGENCY TEACUP AND SAUCER} => {PINK REGENCY TEACUP AND SAUCER}","PINK REGENCY TEACUP AND SAUCER",0.03273,0.563,13.54,464,3.71778947368421,7.46315789473684,261,7248.26
"{LUNCH BAG RED RETROSPOT} => {LUNCH BAG PINK POLKADOT}","LUNCH BAG PINK POLKADOT",0.03316,0.387,6.5,958,2.03613406795225,9.59504132231405,371,7243.19
"{ALARM CLOCK BAKELIKE GREEN} => {ALARM CLOCK BAKELIKE RED}","ALARM CLOCK BAKELIKE RED",0.03502,0.656,11.42,335,4.40365714285714,7.39809523809524,220,7159.49
"{ALARM CLOCK BAKELIKE RED} => {ALARM CLOCK BAKELIKE GREEN}","ALARM CLOCK BAKELIKE GREEN",0.03502,0.61,11.42,410,4.54470769230769,6.27384615384615,250,7131.05
"{CHILDRENS CUTLERY POLKADOT PINK} => {CHILDRENS CUTLERY RETROSPOT RED}","CHILDRENS CUTLERY RETROSPOT RED",0.01445,0.485,20.29,280,4.98771167048055,10.4439359267735,136,7074
"{WOODEN PICTURE FRAME WHITE FINISH} => {WOODEN FRAME ANTIQUE WHITE}","WOODEN FRAME ANTIQUE WHITE",0.0295,0.491,9.26,559,3.58291021671827,7.17647058823529,274,7057.33
"{EDWARDIAN PARASOL NATURAL} => {EDWARDIAN PARASOL BLACK}","EDWARDIAN PARASOL BLACK",0.01078,0.37,17.73,336,7.4188188976378,7.59580052493438,124,7005.66
"{SPACEBOY LUNCH BOX} => {DOLLY GIRL LUNCH BOX}","DOLLY GIRL LUNCH BOX",0.02944,0.598,12.85,362,2.33511764705882,13.8305882352941,216,6991.32
"{DOLLY GIRL LUNCH BOX} => {SPACEBOY LUNCH BOX}","SPACEBOY LUNCH BOX",0.02944,0.633,12.85,312,2.19468888888889,15.8111111111111,197,6853.2
