"Rule","Consequent","Support","Confidence","Lift","MissedBaskets","AvgPrice","AvgQty","ExpectedUplift","PotentialRevenue"
"{ROSES REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.02873,0.494,4.6,537,13.9797251908397,6.64020356234097,265,24625.28
"{GREEN REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.02786,0.502,4.67,504,13.9797251908397,6.64020356234097,253,23486.28
"{JUMBO BAG RED RETROSPOT} => {JUMBO BAG PINK POLKADOT}","JUMBO BAG PINK POLKADOT",0.04515,0.398,5.98,1248,2.60603618421053,17.2672697368421,497,22351.25
"{LUNCH BAG RED RETROSPOT} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.03169,0.37,3.26,985,2.49391702846117,22.1968162083936,364,20174.87
"{SET OF 3 REGENCY CAKE TINS} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01686,0.354,3.3,561,13.9797251908397,6.64020356234097,199,18435.13
"{GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.02233,0.532,4.95,359,13.9797251908397,6.64020356234097,191,17729.08
"{PINK REGENCY TEACUP AND SAUCER} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.02145,0.516,4.8,368,13.9797251908397,6.64020356234097,190,17626.97
"{JUMBO BAG VINTAGE DOILY} => {JUMBO BAG RED RETROSPOT}","JUMBO BAG RED RETROSPOT",0.03158,0.469,4.14,653,2.49391702846117,22.1968162083936,306,16953.47
"{WOODLAND CHARLOTTE BAG} => {REGENCY CAKESTAND 3 TIER}","REGENCY CAKESTAND 3 TIER",0.01423,0.312,2.91,572,13.9797251908397,6.64020356234097,178,16566.5
"{SPOTTY BUNTING} => {PARTY BUNTING}","PARTY BUNTING",0.02643,0.423,4.63,659,5.80916167664671,10.1311377245509,279,16405.8
