"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count"
"DOLLY GIRL CHILDRENS CUP + SPACEBOY CHILDRENS BOWL","DOLLY GIRL CHILDRENS BOWL",0.0101,0.95385,0.01059,57.40845,62
"BUTTON BOX + SUKI  SHOULDER BAG","TOAST ITS - FAIRY FLOWER",0.0101,0.7381,0.01368,54.59237,62
"BUTTON BOX + SUKI  SHOULDER BAG","PIZZA PLATE IN BOX",0.01026,0.75,0.01368,49.50806,63
"DOLLY GIRL CHILDRENS BOWL + SPACEBOY CHILDRENS BOWL","DOLLY GIRL CHILDRENS CUP",0.0101,0.83784,0.01205,48.98559,62
"PINK REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE GREEN + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.0114,0.875,0.01303,47.96094,70
"DOLLY GIRL CHILDRENS BOWL","DOLLY GIRL CHILDRENS CUP",0.01352,0.81373,0.01662,47.57582,83
"DOLLY GIRL CHILDRENS CUP","DOLLY GIRL CHILDRENS BOWL",0.01352,0.79048,0.0171,47.57582,83
"VINTAGE CHRISTMAS PAPER GIFT BAG","VINTAGE CHRISTMAS GIFT BAG LARGE",0.01043,0.72727,0.01433,46.02812,64
"VINTAGE CHRISTMAS GIFT BAG LARGE","VINTAGE CHRISTMAS PAPER GIFT BAG",0.01043,0.65979,0.0158,46.02812,64
"PINK REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE GREEN","REGENCY TEA PLATE PINK",0.01287,0.83158,0.01547,45.58092,79
"GREEN REGENCY TEACUP AND SAUCER + PINK REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.01108,0.82927,0.01336,45.45427,68
"SUKI  SHOULDER BAG + TOAST ITS - FAIRY FLOWER","BUTTON BOX",0.0101,0.89855,0.01124,44.48551,62
"PINK REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE ROSES + ROSES REGENCY TEACUP AND SAUCER","REGENCY TEA PLATE PINK",0.01124,0.80233,0.01401,43.97747,69
"PIZZA PLATE IN BOX + SUKI  SHOULDER BAG","BUTTON BOX",0.01026,0.875,0.01173,43.31956,63
"PINK REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.01238,0.77551,0.01596,42.50765,76
"REGENCY TEA PLATE GREEN + SET OF 3 REGENCY CAKE TINS","REGENCY TEA PLATE PINK",0.01026,0.76829,0.01336,42.11204,63
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE GREEN + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.01222,0.76531,0.01596,41.94834,75
"REGENCY TEA PLATE GREEN + REGENCY TEA PLATE ROSES + ROSES REGENCY TEACUP AND SAUCER","REGENCY TEA PLATE PINK",0.01157,0.75532,0.01531,41.40093,71
"CARD PSYCHEDELIC APPLES + SUKI  SHOULDER BAG","SKULL SHOULDER BAG",0.01043,0.9697,0.01075,41.05496,64
"JAM MAKING SET PRINTED + SUKI  SHOULDER BAG","PIZZA PLATE IN BOX",0.01026,0.61765,0.01662,40.77135,63
"DOLLY GIRL CHILDRENS BOWL + DOLLY GIRL CHILDRENS CUP","SPACEBOY CHILDRENS BOWL",0.0101,0.74699,0.01352,40.58194,62
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE GREEN + ROSES REGENCY TEACUP AND SAUCER","REGENCY TEA PLATE PINK",0.0114,0.73684,0.01547,40.38816,70
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE PINK + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE GREEN",0.01222,0.97403,0.01254,39.86364,75
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE ROSES + ROSES REGENCY TEACUP AND SAUCER","REGENCY TEA PLATE PINK",0.01108,0.7234,0.01531,39.6516,68
"GREEN REGENCY TEACUP AND SAUCER + REGENCY TEA PLATE ROSES","REGENCY TEA PLATE PINK",0.01254,0.71963,0.01743,39.44451,77
