"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count"
"REGENCY TEA PLATE PINK","REGENCY TEA PLATE GREEN",0.02094,0.94872,0.02207,37.25299,37
"REGENCY TEA PLATE GREEN","REGENCY TEA PLATE PINK",0.02094,0.82222,0.02547,37.25299,37
"DOLLY GIRL CHILDRENS CUP + SPACEBOY CHILDRENS BOWL","DOLLY GIRL CHILDRENS BOWL",0.0232,1,0.0232,33.33962,41
"DOLLY GIRL CHILDRENS BOWL + SPACEBOY CHILDRENS CUP","DOLLY GIRL CHILDRENS CUP",0.02151,1,0.02151,32.72222,38
"PACK OF 20 SKULL PAPER NAPKINS","PACK OF 6 SKULL PAPER PLATES",0.02151,0.84444,0.02547,31.08611,38
"PACK OF 6 SKULL PAPER PLATES","PACK OF 20 SKULL PAPER NAPKINS",0.02151,0.79167,0.02716,31.08611,38
"PACK OF 6 SKULL PAPER PLATES","PACK OF 6 SKULL PAPER CUPS",0.02377,0.875,0.02716,30.31618,42
"PACK OF 6 SKULL PAPER CUPS","PACK OF 6 SKULL PAPER PLATES",0.02377,0.82353,0.02886,30.31618,42
"POPPY'S PLAYHOUSE BEDROOM + POPPY'S PLAYHOUSE KITCHEN","POPPY'S PLAYHOUSE LIVINGROOM",0.02037,0.75,0.02716,29.45,36
"PACK OF 20 SKULL PAPER NAPKINS","PACK OF 6 SKULL PAPER CUPS",0.02151,0.84444,0.02547,29.25752,38
"PACK OF 6 SKULL PAPER CUPS","PACK OF 20 SKULL PAPER NAPKINS",0.02151,0.7451,0.02886,29.25752,38
"DOLLY GIRL CHILDRENS BOWL + SPACEBOY CHILDRENS BOWL","DOLLY GIRL CHILDRENS CUP",0.0232,0.8913,0.02603,29.16546,41
"DOLLY GIRL CHILDRENS BOWL","DOLLY GIRL CHILDRENS CUP",0.0266,0.88679,0.02999,29.01782,47
"DOLLY GIRL CHILDRENS CUP","DOLLY GIRL CHILDRENS BOWL",0.0266,0.87037,0.03056,29.01782,47
"POPPY'S PLAYHOUSE KITCHEN + POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE BEDROOM",0.02037,0.92308,0.02207,27.64537,36
"PINK HAPPY BIRTHDAY BUNTING","BLUE HAPPY BIRTHDAY BUNTING",0.02151,0.82609,0.02603,27.54143,38
"BLUE HAPPY BIRTHDAY BUNTING","PINK HAPPY BIRTHDAY BUNTING",0.02151,0.71698,0.02999,27.54143,38
"POPPY'S PLAYHOUSE BEDROOM + POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE KITCHEN",0.02037,0.94737,0.02151,27.44262,36
"POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE BEDROOM",0.02151,0.84444,0.02547,25.2904,38
"POPPY'S PLAYHOUSE BEDROOM","POPPY'S PLAYHOUSE LIVINGROOM",0.02151,0.64407,0.03339,25.2904,38
"POPPY'S PLAYHOUSE LIVINGROOM","POPPY'S PLAYHOUSE KITCHEN",0.02207,0.86667,0.02547,25.10492,39
"POPPY'S PLAYHOUSE KITCHEN","POPPY'S PLAYHOUSE LIVINGROOM",0.02207,0.63934,0.03452,25.10492,39
"DOLLY GIRL CHILDRENS BOWL + SPACEBOY CHILDRENS CUP","SPACEBOY CHILDRENS BOWL",0.02094,0.97368,0.02151,24.57857,37
"DOLLY GIRL CHILDRENS CUP + SPACEBOY CHILDRENS BOWL","SPACEBOY CHILDRENS CUP",0.02094,0.90244,0.0232,24.53246,37
"CHILDS BREAKFAST SET DOLLY GIRL","CHILDS BREAKFAST SET SPACEBOY",0.02037,0.73469,0.02773,24.04082,36
