"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count"
"SET/6 COLLAGE PAPER CUPS","SET/6 COLLAGE PAPER PLATES",0.01071,0.89655,0.01195,64.75452,130
"SET/6 COLLAGE PAPER PLATES","SET/6 COLLAGE PAPER CUPS",0.01071,0.77381,0.01385,64.75452,130
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER CHIVES",0.01253,0.88889,0.01409,58.93868,152
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER CHIVES",0.01253,0.88889,0.01409,58.93868,152
"HERB MARKER BASIL + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER CHIVES",0.01228,0.8869,0.01385,58.80712,149
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER CHIVES",0.01269,0.88506,0.01434,58.68463,154
"HERB MARKER BASIL + HERB MARKER CHIVES + HERB MARKER ROSEMARY","HERB MARKER THYME",0.0122,0.98013,0.01244,58.29866,148
"HERB MARKER BASIL + HERB MARKER MINT + HERB MARKER PARSLEY","HERB MARKER CHIVES",0.01228,0.87647,0.01401,58.11527,149
"HERB MARKER BASIL + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER CHIVES",0.01211,0.875,0.01385,58.01776,147
"HERB MARKER CHIVES + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01269,0.97468,0.01302,57.97456,154
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER THYME","HERB MARKER PARSLEY",0.01253,0.98065,0.01277,57.76286,152
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01253,0.98065,0.01277,57.76286,152
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01236,0.96774,0.01277,57.56167,150
"HERB MARKER MINT + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER CHIVES",0.01236,0.86705,0.01426,57.49076,150
"HERB MARKER CHIVES + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER PARSLEY",0.01269,0.97468,0.01302,57.4117,154
"HERB MARKER BASIL + HERB MARKER CHIVES + HERB MARKER THYME","HERB MARKER PARSLEY",0.01228,0.97386,0.01261,57.36297,149
"HERB MARKER BASIL + HERB MARKER CHIVES + HERB MARKER MINT","HERB MARKER PARSLEY",0.01228,0.97386,0.01261,57.36297,149
"HERB MARKER BASIL + HERB MARKER CHIVES + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01211,0.97351,0.01244,57.34257,147
"HERB MARKER CHIVES + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01269,0.96855,0.0131,57.32892,154
"HERB MARKER CHIVES + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01302,0.96341,0.01352,57.30428,158
"HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER CHIVES",0.0131,0.86413,0.01516,57.29704,159
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01236,0.96774,0.01277,57.28088,150
"HERB MARKER BASIL + HERB MARKER CHIVES + HERB MARKER THYME","HERB MARKER ROSEMARY",0.0122,0.96732,0.01261,57.25592,148
"HERB MARKER BASIL + HERB MARKER MINT + HERB MARKER THYME","HERB MARKER CHIVES",0.01195,0.8631,0.01385,57.2284,145
"HERB MARKER BASIL + HERB MARKER CHIVES + HERB MARKER PARSLEY","HERB MARKER THYME",0.01228,0.96129,0.01277,57.17793,149
