"Antecedent_LHS","Consequent_RHS","support","confidence","coverage","lift","count"
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER CHIVES",0.01018,0.89362,0.01139,72.66031,168
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER CHIVES",0.01018,0.88889,0.01145,72.27586,168
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER CHIVES",0.01048,0.87817,0.01194,71.40452,173
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER THYME","HERB MARKER PARSLEY",0.01018,0.98246,0.01036,71.12465,168
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01018,0.98246,0.01036,71.12465,168
"HERB MARKER CHIVES + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER PARSLEY",0.01048,0.9774,0.01072,70.7587,173
"HERB MARKER MINT + HERB MARKER ROSEMARY + HERB MARKER THYME","HERB MARKER CHIVES",0.01006,0.86911,0.01157,70.66763,166
"HERB MARKER CHIVES + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01048,0.9774,0.01072,70.44971,173
"HERB MARKER MINT + HERB MARKER PARSLEY","HERB MARKER CHIVES",0.01072,0.86341,0.01242,70.20454,177
"HERB MARKER CHIVES + HERB MARKER THYME","HERB MARKER PARSLEY",0.01078,0.96739,0.01115,70.03404,178
"HERB MARKER CHIVES + HERB MARKER ROSEMARY","HERB MARKER PARSLEY",0.01072,0.96721,0.01109,70.02114,177
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01006,0.97076,0.01036,69.97104,166
"HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER CHIVES",0.01078,0.8599,0.01254,69.91904,178
"HERB MARKER CHIVES + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01072,0.96721,0.01109,69.71537,177
"HERB MARKER CHIVES + HERB MARKER MINT","HERB MARKER PARSLEY",0.01072,0.96196,0.01115,69.64059,177
"HERB MARKER BASIL + HERB MARKER CHIVES","HERB MARKER PARSLEY",0.0103,0.96045,0.01072,69.53167,170
"HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER CHIVES",0.01072,0.85507,0.01254,69.52624,177
"HERB MARKER MINT + HERB MARKER THYME","HERB MARKER CHIVES",0.01036,0.855,0.01212,69.52034,171
"HERB MARKER CHIVES + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01048,0.97191,0.01078,69.4474,173
"HERB MARKER BASIL + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01091,0.96257,0.01133,69.38047,180
"HERB MARKER CHIVES + HERB MARKER MINT + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01006,0.97076,0.01036,69.36523,166
"HERB MARKER BASIL + HERB MARKER MINT + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01066,0.96703,0.01103,69.0989,176
"HERB MARKER BASIL + HERB MARKER PARSLEY + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01091,0.96257,0.01133,68.77978,180
"HERB MARKER CHIVES + HERB MARKER THYME","HERB MARKER ROSEMARY",0.01072,0.96196,0.01115,68.73617,177
"HERB MARKER MINT + HERB MARKER PARSLEY + HERB MARKER ROSEMARY","HERB MARKER THYME",0.01091,0.95238,0.01145,68.64629,180
